version_id,tag,src_module,dst_module
1,0.115.6,docs_src.dependencies.tutorial004_an_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial004_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial004_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial005,fastapi
1,0.115.6,docs_src.dependencies.tutorial005_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial005_an_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial005_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial005_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial006,fastapi
1,0.115.6,docs_src.dependencies.tutorial006_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial006_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial008,fastapi
1,0.115.6,docs_src.dependencies.tutorial008_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial008_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial008b,fastapi
1,0.115.6,docs_src.dependencies.tutorial008b_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial008b_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial008c,fastapi
1,0.115.6,docs_src.dependencies.tutorial008c_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial008c_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial008d,fastapi
1,0.115.6,docs_src.dependencies.tutorial008d_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial008d_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial009,fastapi
1,0.115.6,docs_src.dependencies.tutorial011,fastapi
1,0.115.6,docs_src.dependencies.tutorial011_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial011_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial012,fastapi
1,0.115.6,docs_src.dependencies.tutorial012_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial012_an_py39,fastapi
1,0.115.6,docs_src.dependency_testing.tutorial001,fastapi
1,0.115.6,docs_src.dependency_testing.tutorial001,fastapi.testclient
1,0.115.6,docs_src.dependency_testing.tutorial001_an,fastapi
1,0.115.6,docs_src.dependency_testing.tutorial001_an,fastapi.testclient
